nro,cargo
1,ACTUARIO/A
2,ADMINISTRADOR
3,ALBAÑIL
4,ANALISTA DE SISTEMAS
5,ASESOR
6,ASESOR DEPARTAMENTAL
7,ASESOR JURIDICO
8,ASESOR LEGAL
9,ASESOR TECNICO
10,Asistente
11,ASISTENTE ADMINISTRATIVO
12,ASISTENTE DE EVALUACION
13,ASISTENTE DE PRENSA
14,ASISTENTE FISCAL
15,ASISTENTE LEGAL
16,ASISTENTE TECNICO
17,ASISTENTE TECNICO ADM
18,AUDITOR
19,AUDITOR INTERNO
20,Auxiliar
21,AUXILIAR ADMINISTRATIVO
22,AUXILIAR DE SERVICIOS
23,AUXILIAR TECNICO ADMINIS.
24,AUXILIAR TECNICO INFORMATICO
25,Bibliotecario
26,Bibliotecario (Dinamizador/a de CRA)
27,BIBLIOTECARIO I
28,CAJERO
29,CARPINTERO
30,Catedrático
31,Catedrático de Antropología Social y Cultural
32,Catedrático de Arte Elemental
33,Catedrático de Artes
34,Catedrático de Biología
35,Catedrático de Castellano
36,Catedrático de Ciencias de la Naturaleza
37,Catedrático de Ciencias Naturales y Salud
38,Catedrático de Computación
39,Catedrático de Comunicación
40,Catedrático de Danza
41,Catedrático de Economía y Gestión
42,Catedrático de Educación Artística
43,Catedrático de Educación Etica y Ciudadana
44,Catedrático de Educación Física
45,Catedrático de Educación para el Arte
46,Catedrático de Estadística
47,Catedrático de Filosofia
48,Catedrático de Física
49,Catedrático de Formación Ética y Ciudadana
50,Catedrático de Geología
51,Catedrático de Guaraní Ñe'e
52,Catedrático de Historia y Geografía
53,Catedrático de Investigación Social
54,Catedrático de Lengua Extranjera
55,Catedrático de Lengua Guaraní
56,Catedrático de Lengua y Literatura Castellana
57,Catedrático de Matemática
58,Catedrático de Medio Social
59,Catedrático de Mercadotecnia
60,"Catedrático de Orientación Educacional, SocioLaboral"
61,Catedrático de Proyecto Educativo Comunitario-Institucional
62,Catedrático de Psicología
63,Catedrático de Química
64,Catedrático de Salud
65,Catedrático de Sociología y Antropología Cultural
66,Catedrático de Trabajo y Tecnología
67,CELADOR
68,CHOFER
69,CONTADOR
70,COORDINADOR
71,COORDINADOR/A ADMINISTRATIVO/A
72,COORDINADOR AREA INFORMATICA
73,COORDINADOR DE AREA I
